CVE_ID,Device_Name,IP_Addresses,Operating_System,Risk_Score,Priority,Patch_Urgency_Days,Patch_Deadline,Status,User_ID,User_Name,Scan_Timestamp
CVE-2024-26234,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-26234,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-29988,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-29988,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-30040,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-30040,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-30051,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-30051,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-30088,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-30088,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-35250,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-35250,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-35250,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38014,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38014,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38014,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38080,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38080,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38106,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38106,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38107,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38107,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38107,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38112,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
